comment_id,account_id,text,toxicity_label,toxicity_score,posted_at,platform_surface
COM-000001,ACC-000001,because I have little else to do with my empty life,clean,0.0,2023-02-18 00:00:00,shorts_comments
COM-000002,ACC-000001,I'll write it when I have some time.,clean,0.0,2023-11-24 00:00:00,community_post
COM-000003,ACC-000001,"Additions to the Västerbottens Fotbollförbund page

I have created a page for Västerbottens Fotbollförbund as a stub that can now be developed by those with a far greater knowledge of Västerbottens Fotbollförbund football than myself.  It would be great to see articles and photos added to the page covering for example key officials, organisation headquarters, gala presentations, historic facts, district cup winners and much more.

  (Finnish Gas )

 Notability Criteria - Clubs affiliated to Västerbottens Fotbollförbund 

Clubs playing in Division 4 and below may not meet Wikipedia's notability criteria.  If you wish to produce a Wikipedia page for your club I suggest that you ensure that you take appropriate measures to emphasise that your club is notable.  This may be achieved by including details of at least one of the following:

1. - club achievements in particular competing in the higher levels of the Swedish football league system (Division 3 and above 1987 onwards / Division 4 and above pre 1987); 
2. - a notable player(s) who has played for the club;
3. - widening the description of the club to include details of other sections of the club (some of whom may have made a notable contribution to their sport);
4. - significant club infrastructure that has been provided or is managed by the club such as an indoor sports hall and all weather pitches;
5. - special contribution to the local community such as clubs serving the needs of ethnic communities;
6. - unique features such as an island location or historic stadium.

Failure to meet notability criteria could result in your page being recommended for deletion.

  (Finnish Gas )",clean,0.0,2022-06-08 00:00:00,shorts_comments
COM-000004,ACC-000001,"n ig ger nig ger 

Hi n i g g e r","toxic,severe_toxic,obscene,identity_hate",0.667,2021-12-03 00:00:00,comments
COM-000005,ACC-000001,"""

One more point. I see that you have tried to suppress a link to www.arvindiyer.com. I find it inconceivable that Arvind Iyer wants that information hidden: if he did, why would he keep the web site in existence? The editor who uses the pseudonym """"""""  """,clean,0.0,2022-07-22 00:00:00,shorts_comments
COM-000006,ACC-000002,"""
It should be named as """"Navarre"""", the English term is Navarre, not """"Navarra"""". 80.58.205.42  """,clean,0.0,2025-03-10 00:00:00,shorts_comments
COM-000007,ACC-000003,"Never mind, but if you have time or are involved in the Macedonian or Slovenian Wikipedias, could you make a mirror article? Thanks. Alex",clean,0.0,2026-03-30 00:00:00,community_post
COM-000008,ACC-000003,"What is happening here, clearly, is TC is attempting to obscure that past which brings him the greatest infamy and he intends to do that through the addition of reams of irrelevant material that is purely self-promoting rubbish.  We know this because he did it before, to the point where his Wiki profile read like a fantasy novel and he was Prince Charming.

Mr. Calandra is a career promoter and was busted red-handed by the SEC. THAT is his claim to fame. Nothing else is relevant, certainly NOT his biblical promotional materials.",clean,0.0,2025-12-03 00:00:00,comments
COM-000009,ACC-000003,"""
This is taken from the 2010 Winter Olympics Page.

VenueLocationSportsCapacity Ref. Canada Hockey Place Vancouver  Ice hockey (final) 18,630 """,clean,0.0,2026-04-17 00:00:00,community_post
COM-000010,ACC-000003,"My ideas are not against socialism at all, Islam is not socialism, in fact, Islam stands against everything socialism stands for, do you think Muslims tolerate other religions and Atheists and Agnostics while in their countries? Of course not, and I don't care whether I am against multiculturalism, multiculturalism has failed, Muslims hate us, we cannot change that. I am not a racist as well, I am proud to be European, what is wrong with that?",clean,0.0,2026-02-26 00:00:00,comments
